age,gender,marital_status,dependents,education,employment_type,city_tier,residence_type,monthly_income,cibil_score,existing_loans_count,credit_history_length_years,bank_balance,loan_amount,loan_term_months,loan_purpose,debt_to_income_ratio,loan_approved
31,Male,Single,1,Graduate,Salaried,Tier 3,Owned,33000,571,0,6.7,77000,270000,24,Business Expansion,0.385,Rejected
44,Male,Married,0,Graduate,Self-Employed,Tier 1,Rented,50000,710,0,7.3,103000,59000,120,Education,0.017,Approved
37,Female,Single,1,Not Graduate,Self-Employed,Tier 1,Rented,38000,627,0,12.2,195000,473000,36,Debt Consolidation,0.413,Rejected
44,Male,Married,1,Graduate,Salaried,Tier 1,Owned,31000,775,1,14.2,132000,152000,48,Wedding,0.129,Approved
21,Male,Single,0,Graduate,Salaried,Tier 2,Owned,59000,676,3,0.0,97000,155000,240,Medical,0.029,Approved
35,Male,Married,1,Graduate,Self-Employed,Tier 2,Owned,68000,736,0,10.7,354000,195000,24,Wedding,0.135,Approved
21,Male,Married,0,Graduate,Self-Employed,Tier 1,Rented,105000,654,3,0.0,163000,107000,24,Vehicle,0.048,Approved
34,Male,Single,0,Graduate,Unemployed,Tier 2,Living with Parents,13000,618,0,7.1,42000,456000,36,Home Renovation,1.165,Rejected
41,Male,Married,0,Graduate,Salaried,Tier 3,Living with Parents,32000,698,1,6.1,36000,244000,240,Business Expansion,0.084,Approved
50,Male,Single,0,Graduate,Business Owner,Tier 3,Owned,44000,697,0,23.3,179000,334000,24,Wedding,0.357,Approved
26,Female,Married,1,Not Graduate,Salaried,Tier 2,Owned,69000,730,1,3.9,285000,138000,60,Medical,0.044,Approved
30,Male,Single,1,Graduate,Self-Employed,Tier 3,Rented,14000,666,0,5.8,35000,397000,120,Business Expansion,0.407,Approved
34,Male,Single,2,Graduate,Self-Employed,Tier 3,Owned,45000,627,0,6.8,48000,516000,180,Travel,0.138,Rejected
26,Female,Single,0,Graduate,Salaried,Tier 1,Rented,37000,572,0,3.9,130000,102000,48,Vehicle,0.073,Approved
43,Female,Single,0,Not Graduate,Salaried,Tier 1,Owned,62000,661,0,14.7,345000,112000,48,Education,0.048,Approved
34,Male,Married,2,Graduate,Salaried,Tier 2,Owned,23000,654,2,5.4,112000,136000,120,Wedding,0.085,Approved
36,Male,Single,1,Graduate,Salaried,Tier 1,Rented,80000,655,1,6.7,293000,383000,24,Business Expansion,0.225,Approved
40,Male,Single,2,Graduate,Business Owner,Tier 1,Owned,87000,737,1,12.6,80000,245000,48,Travel,0.074,Approved
34,Female,Married,1,Not Graduate,Salaried,Tier 2,Owned,27000,671,0,9.2,111000,211000,60,Business Expansion,0.174,Approved
27,Female,Single,3,Graduate,Self-Employed,Tier 1,Rented,43000,626,0,2.2,103000,274000,84,Wedding,0.112,Rejected
34,Female,Married,3,Graduate,Salaried,Tier 1,Owned,37000,657,0,10.4,169000,700000,24,Education,0.891,Approved
27,Male,Married,4,Graduate,Business Owner,Tier 2,Rented,52000,631,0,3.6,38000,77000,180,Debt Consolidation,0.018,Approved
35,Female,Married,1,Graduate,Business Owner,Tier 2,Owned,153000,683,1,5.9,482000,182000,120,Medical,0.017,Approved
43,Male,Married,1,Graduate,Business Owner,Tier 3,Rented,15000,694,1,14.1,37000,35000,36,Education,0.078,Approved
24,Male,Married,1,Graduate,Self-Employed,Tier 2,Living with Parents,53000,616,1,2.5,31000,298000,48,Vehicle,0.148,Rejected
21,Male,Single,3,Not Graduate,Salaried,Tier 2,Rented,51000,568,0,0.0,157000,422000,48,Debt Consolidation,0.218,Approved
35,Female,Married,0,Graduate,Business Owner,Tier 2,Rented,37000,705,2,6.1,49000,183000,240,Wedding,0.054,Approved
28,Male,Married,2,Graduate,Salaried,Tier 1,Living with Parents,20000,594,0,4.5,12000,325000,60,Travel,0.361,Rejected
35,Female,Married,2,Graduate,Salaried,Tier 1,Owned,45000,723,0,4.2,175000,87000,36,Education,0.064,Approved
37,Male,Married,2,Graduate,Salaried,Tier 3,Owned,16000,648,1,6.5,95000,293000,84,Debt Consolidation,0.323,Rejected
21,Male,Married,0,Graduate,Self-Employed,Tier 2,Owned,60000,615,2,0.0,254000,958000,120,Wedding,0.229,Approved
41,Male,Married,3,Not Graduate,Self-Employed,Tier 3,Rented,17000,623,1,16.6,91000,175000,84,Wedding,0.182,Rejected
24,Male,Married,1,Not Graduate,Self-Employed,Tier 2,Rented,43000,621,2,1.8,51000,282000,24,Business Expansion,0.309,Rejected
34,Female,Married,2,Graduate,Salaried,Tier 1,Owned,33000,674,1,8.8,70000,154000,36,Debt Consolidation,0.155,Approved
29,Male,Married,0,Graduate,Salaried,Tier 2,Living with Parents,74000,629,1,2.4,350000,244000,48,Debt Consolidation,0.087,Approved
30,Female,Single,4,Graduate,Business Owner,Tier 2,Owned,119000,694,0,4.8,177000,427000,36,Wedding,0.119,Approved
50,Female,Married,2,Not Graduate,Salaried,Tier 2,Living with Parents,33000,660,0,16.5,125000,315000,60,Travel,0.212,Rejected
37,Female,Married,3,Not Graduate,Salaried,Tier 2,Living with Parents,23000,699,2,12.9,71000,207000,36,Business Expansion,0.299,Approved
43,Male,Single,1,Not Graduate,Self-Employed,Tier 3,Living with Parents,89000,714,3,9.2,340000,205000,12,Debt Consolidation,0.205,Approved
36,Male,Single,0,Not Graduate,Salaried,Tier 3,Living with Parents,30000,651,0,5.1,174000,107000,84,Travel,0.063,Approved
40,Male,Married,1,Graduate,Salaried,Tier 3,Owned,38000,701,2,15.1,179000,405000,48,Debt Consolidation,0.281,Approved
38,Female,Single,1,Graduate,Salaried,Tier 1,Rented,47000,754,1,7.3,279000,344000,12,Education,0.65,Approved
37,Female,Single,1,Not Graduate,Salaried,Tier 1,Owned,45000,729,2,11.4,53000,103000,240,Education,0.025,Approved
44,Male,Married,0,Graduate,Salaried,Tier 1,Living with Parents,38000,717,1,8.2,116000,244000,84,Business Expansion,0.113,Approved
36,Female,Single,2,Graduate,Business Owner,Tier 1,Owned,22000,700,0,10.6,41000,126000,12,Business Expansion,0.509,Rejected
55,Male,Married,0,Not Graduate,Self-Employed,Tier 2,Owned,117000,737,2,18.8,487000,167000,180,Home Renovation,0.017,Approved
43,Female,Single,0,Graduate,Salaried,Tier 2,Living with Parents,45000,672,2,18.8,26000,358000,48,Travel,0.21,Approved
24,Male,Single,2,Not Graduate,Self-Employed,Tier 2,Owned,42000,663,2,1.3,227000,398000,36,Travel,0.315,Approved
33,Female,Married,0,Graduate,Unemployed,Tier 3,Owned,13000,597,2,4.1,49000,337000,12,Debt Consolidation,2.303,Rejected
38,Male,Married,0,Not Graduate,Salaried,Tier 3,Rented,24000,660,1,10.5,101000,187000,84,Education,0.138,Approved
35,Female,Single,0,Not Graduate,Business Owner,Tier 1,Rented,77000,721,0,11.9,375000,290000,240,Business Expansion,0.041,Approved
41,Female,Single,0,Graduate,Self-Employed,Tier 3,Rented,23000,684,1,8.4,106000,138000,24,Vehicle,0.282,Rejected
42,Female,Married,2,Not Graduate,Salaried,Tier 2,Rented,33000,742,2,16.8,141000,345000,48,Medical,0.275,Approved
22,Male,Single,5,Graduate,Salaried,Tier 2,Living with Parents,55000,522,1,0.5,314000,217000,36,Home Renovation,0.131,Approved
46,Male,Single,2,Graduate,Salaried,Tier 3,Owned,37000,676,1,9.0,67000,165000,60,Wedding,0.099,Approved
30,Male,Single,2,Graduate,Self-Employed,Tier 1,Rented,46000,693,3,5.9,47000,142000,180,Travel,0.037,Approved
29,Male,Married,2,Graduate,Salaried,Tier 3,Rented,48000,723,0,4.9,191000,330000,24,Education,0.324,Approved
29,Male,Married,2,Graduate,Self-Employed,Tier 2,Rented,29000,700,1,6.4,25000,202000,36,Debt Consolidation,0.231,Rejected
42,Female,Married,0,Not Graduate,Self-Employed,Tier 3,Rented,21000,655,1,7.6,75000,164000,24,Travel,0.368,Rejected
32,Male,Married,2,Graduate,Salaried,Tier 3,Owned,25000,704,2,7.6,109000,163000,36,Medical,0.217,Approved
29,Male,Married,1,Graduate,Business Owner,Tier 2,Owned,44000,570,2,5.4,185000,104000,24,Medical,0.111,Rejected
31,Male,Married,4,Graduate,Business Owner,Tier 1,Owned,52000,608,1,9.0,123000,243000,60,Medical,0.104,Rejected
21,Male,Married,1,Graduate,Salaried,Tier 1,Owned,40000,613,2,0.0,169000,261000,12,Wedding,0.58,Rejected
27,Female,Single,0,Not Graduate,Unemployed,Tier 1,Owned,21000,596,2,2.0,49000,90000,84,Business Expansion,0.076,Rejected
23,Male,Married,0,Graduate,Salaried,Tier 1,Rented,115000,609,1,1.1,567000,115000,24,Home Renovation,0.047,Approved
32,Female,Married,1,Graduate,Salaried,Tier 3,Owned,30000,648,0,6.4,159000,82000,36,Medical,0.091,Approved
40,Male,Married,0,Not Graduate,Salaried,Tier 1,Rented,69000,760,0,9.9,287000,453000,36,Home Renovation,0.218,Approved
39,Female,Single,0,Graduate,Self-Employed,Tier 3,Living with Parents,24000,624,0,12.2,95000,318000,48,Vehicle,0.349,Rejected
46,Female,Single,5,Not Graduate,Self-Employed,Tier 2,Rented,42000,633,1,11.5,87000,426000,24,Vehicle,0.477,Rejected
44,Male,Married,1,Graduate,Salaried,Tier 1,Rented,65000,671,0,9.4,199000,581000,60,Travel,0.199,Approved
30,Female,Married,0,Graduate,Salaried,Tier 2,Living with Parents,25000,756,0,5.1,44000,286000,180,Medical,0.137,Approved
35,Male,Married,1,Not Graduate,Salaried,Tier 2,Rented,61000,696,1,10.3,267000,212000,48,Business Expansion,0.092,Approved
34,Female,Single,1,Not Graduate,Business Owner,Tier 2,Living with Parents,34000,624,0,10.9,139000,247000,12,Medical,0.645,Rejected
21,Male,Married,0,Graduate,Business Owner,Tier 2,Owned,88000,684,1,0.0,97000,149000,48,Vehicle,0.045,Approved
24,Female,Married,1,Graduate,Self-Employed,Tier 1,Living with Parents,88000,565,2,1.6,479000,136000,48,Home Renovation,0.041,Rejected
33,Female,Married,1,Graduate,Self-Employed,Tier 2,Rented,82000,670,0,9.0,486000,171000,36,Home Renovation,0.069,Approved
33,Female,Married,0,Graduate,Self-Employed,Tier 2,Owned,78000,685,1,5.0,100000,189000,36,Home Renovation,0.08,Approved
39,Female,Married,2,Not Graduate,Salaried,Tier 3,Living with Parents,93000,743,1,13.5,187000,81000,24,Education,0.041,Approved
39,Male,Married,2,Graduate,Salaried,Tier 3,Living with Parents,42000,614,0,10.6,211000,105000,240,Travel,0.028,Rejected
21,Male,Married,0,Graduate,Self-Employed,Tier 1,Rented,25000,678,2,0.0,67000,103000,60,Debt Consolidation,0.092,Approved
39,Male,Married,2,Not Graduate,Self-Employed,Tier 1,Living with Parents,59000,731,0,12.9,48000,100000,60,Travel,0.038,Approved
36,Male,Single,1,Graduate,Salaried,Tier 2,Owned,31000,728,1,8.2,171000,322000,48,Vehicle,0.274,Approved
40,Female,Single,1,Graduate,Unemployed,Tier 3,Rented,8000,542,0,12.8,27000,180000,60,Education,0.501,Rejected
44,Male,Married,3,Not Graduate,Business Owner,Tier 2,Owned,101000,785,1,16.1,68000,196000,48,Education,0.051,Approved
33,Female,Married,0,Not Graduate,Salaried,Tier 1,Owned,42000,583,0,6.4,121000,276000,84,Debt Consolidation,0.116,Approved
46,Female,Married,0,Not Graduate,Self-Employed,Tier 1,Rented,24000,643,1,22.3,122000,360000,24,Vehicle,0.706,Rejected
26,Female,Married,1,Graduate,Unemployed,Tier 1,Owned,9000,561,2,2.9,24000,289000,12,Education,2.853,Rejected
26,Male,Single,0,Not Graduate,Salaried,Tier 1,Owned,174000,654,0,4.5,212000,587000,60,Debt Consolidation,0.075,Approved
38,Female,Married,0,Graduate,Salaried,Tier 2,Rented,85000,636,1,7.5,62000,225000,84,Debt Consolidation,0.047,Approved
31,Female,Married,2,Graduate,Salaried,Tier 2,Owned,60000,766,1,4.0,287000,247000,84,Education,0.073,Approved
37,Male,Single,2,Not Graduate,Salaried,Tier 1,Rented,71000,605,1,10.9,235000,153000,48,Business Expansion,0.057,Rejected
52,Female,Single,0,Graduate,Business Owner,Tier 1,Owned,38000,648,2,19.5,86000,71000,12,Travel,0.166,Approved
38,Female,Married,1,Not Graduate,Salaried,Tier 2,Living with Parents,23000,683,0,10.6,116000,230000,24,Wedding,0.471,Approved
36,Male,Single,1,Graduate,Salaried,Tier 3,Owned,44000,672,0,13.5,49000,369000,48,Travel,0.221,Approved
27,Male,Married,1,Graduate,Salaried,Tier 2,Rented,96000,593,0,1.8,134000,141000,84,Vehicle,0.026,Approved
21,Male,Single,3,Not Graduate,Salaried,Tier 3,Owned,18000,700,2,0.0,48000,162000,36,Medical,0.299,Approved
34,Male,Married,2,Graduate,Salaried,Tier 2,Rented,38000,666,1,6.3,27000,391000,60,Medical,0.229,Approved
44,Male,Married,0,Not Graduate,Self-Employed,Tier 1,Owned,63000,684,2,12.8,327000,213000,24,Home Renovation,0.159,Approved
32,Male,Married,2,Graduate,Salaried,Tier 1,Rented,38000,654,4,9.5,115000,126000,24,Home Renovation,0.156,Rejected
38,Male,Single,1,Not Graduate,Self-Employed,Tier 2,Owned,40000,608,0,13.3,151000,124000,84,Debt Consolidation,0.055,Rejected
47,Male,Married,2,Graduate,Self-Employed,Tier 2,Living with Parents,25000,744,1,10.9,19000,326000,48,Medical,0.343,Approved
47,Female,Single,2,Graduate,Salaried,Tier 2,Owned,48000,718,2,18.8,253000,203000,240,Home Renovation,0.047,Approved
38,Male,Single,3,Graduate,Self-Employed,Tier 3,Living with Parents,39000,659,4,11.0,227000,201000,36,Education,0.171,Approved
36,Female,Married,3,Not Graduate,Self-Employed,Tier 2,Owned,62000,672,0,8.2,334000,96000,48,Debt Consolidation,0.041,Approved
21,Male,Married,1,Not Graduate,Salaried,Tier 1,Owned,45000,586,0,0.0,192000,292000,24,Business Expansion,0.305,Rejected
29,Male,Married,0,Not Graduate,Salaried,Tier 3,Owned,48000,708,0,5.3,233000,408000,36,Medical,0.282,Approved
32,Male,Single,1,Graduate,Self-Employed,Tier 2,Owned,53000,635,1,6.4,274000,177000,60,Medical,0.074,Rejected
27,Male,Single,1,Graduate,Unemployed,Tier 2,Rented,20000,546,2,3.8,34000,281000,180,Business Expansion,0.169,Rejected
37,Male,Single,5,Graduate,Salaried,Tier 2,Living with Parents,35000,666,1,12.2,45000,172000,24,Home Renovation,0.231,Approved
52,Female,Married,2,Graduate,Salaried,Tier 2,Owned,67000,638,3,27.3,109000,314000,24,Home Renovation,0.221,Approved
48,Male,Married,1,Graduate,Salaried,Tier 1,Rented,44000,737,0,14.8,237000,295000,240,Debt Consolidation,0.074,Approved
37,Female,Married,1,Not Graduate,Salaried,Tier 2,Rented,57000,681,1,8.9,134000,174000,84,Education,0.054,Approved
42,Female,Married,0,Not Graduate,Self-Employed,Tier 1,Owned,115000,738,1,16.9,154000,61000,36,Business Expansion,0.018,Approved
28,Male,Single,0,Graduate,Salaried,Tier 2,Owned,77000,652,1,2.6,462000,136000,48,Education,0.047,Approved
48,Male,Single,1,Graduate,Salaried,Tier 1,Living with Parents,45000,675,2,21.1,64000,270000,120,Wedding,0.086,Approved
21,Female,Single,3,Not Graduate,Salaried,Tier 1,Owned,38000,620,0,0.0,43000,373000,84,Medical,0.173,Rejected
43,Male,Married,1,Graduate,Salaried,Tier 1,Rented,86000,753,2,12.1,437000,153000,60,Debt Consolidation,0.04,Approved
39,Male,Single,0,Graduate,Salaried,Tier 2,Owned,31000,656,1,8.6,160000,492000,180,Education,0.19,Approved
28,Female,Married,2,Graduate,Salaried,Tier 3,Rented,55000,686,1,2.6,194000,538000,36,Travel,0.325,Approved
33,Male,Single,1,Graduate,Salaried,Tier 1,Rented,26000,641,2,9.0,52000,334000,36,Education,0.427,Rejected
24,Female,Married,3,Not Graduate,Business Owner,Tier 2,Owned,65000,614,0,2.5,142000,111000,48,Travel,0.045,Rejected
25,Female,Married,2,Graduate,Business Owner,Tier 1,Owned,51000,677,1,2.4,111000,337000,12,Education,0.587,Approved
21,Male,Married,1,Graduate,Salaried,Tier 3,Owned,13000,620,0,0.0,68000,159000,60,Education,0.272,Rejected
41,Male,Married,1,Graduate,Self-Employed,Tier 1,Owned,36000,625,0,9.7,21000,154000,48,Medical,0.113,Approved
45,Male,Married,0,Not Graduate,Salaried,Tier 1,Living with Parents,41000,696,0,8.4,181000,288000,24,Home Renovation,0.331,Approved
21,Male,Single,2,Graduate,Salaried,Tier 1,Owned,145000,591,0,0.0,834000,284000,180,Home Renovation,0.024,Approved
51,Male,Married,1,Graduate,Salaried,Tier 3,Rented,8000,715,0,18.4,37000,289000,24,Vehicle,1.701,Rejected
34,Female,Married,2,Not Graduate,Salaried,Tier 2,Owned,33000,617,2,11.5,106000,326000,84,Home Renovation,0.174,Approved
37,Male,Single,3,Not Graduate,Self-Employed,Tier 1,Living with Parents,46000,677,1,12.2,44000,212000,84,Home Renovation,0.081,Approved
21,Male,Single,1,Not Graduate,Salaried,Tier 1,Rented,29000,642,1,0.0,19000,92000,12,Vehicle,0.282,Rejected
46,Female,Married,4,Not Graduate,Salaried,Tier 1,Owned,41000,717,0,14.1,67000,767000,48,Wedding,0.493,Approved
36,Female,Married,5,Graduate,Business Owner,Tier 1,Living with Parents,58000,638,3,7.6,224000,174000,48,Wedding,0.079,Approved
45,Female,Married,3,Graduate,Self-Employed,Tier 3,Owned,24000,686,2,11.2,72000,143000,120,Business Expansion,0.085,Approved
45,Male,Married,0,Graduate,Salaried,Tier 2,Rented,49000,677,0,21.4,187000,106000,60,Business Expansion,0.048,Approved
47,Female,Single,1,Graduate,Salaried,Tier 2,Rented,96000,704,2,11.4,93000,241000,12,Vehicle,0.223,Approved
29,Male,Single,0,Not Graduate,Salaried,Tier 1,Owned,49000,615,2,3.1,248000,224000,48,Vehicle,0.12,Approved
33,Male,Married,1,Not Graduate,Salaried,Tier 2,Living with Parents,28000,659,0,7.0,119000,204000,36,Travel,0.242,Approved
29,Male,Single,1,Not Graduate,Salaried,Tier 1,Living with Parents,47000,674,2,4.9,188000,540000,24,Medical,0.541,Rejected
43,Female,Married,2,Graduate,Salaried,Tier 1,Living with Parents,41000,653,1,8.9,59000,326000,36,Debt Consolidation,0.264,Approved
37,Male,Married,1,Not Graduate,Self-Employed,Tier 2,Living with Parents,81000,650,1,8.2,284000,119000,120,Debt Consolidation,0.021,Approved
44,Male,Single,3,Not Graduate,Self-Employed,Tier 1,Rented,43000,763,0,10.9,82000,762000,60,Vehicle,0.394,Approved
45,Male,Married,0,Graduate,Self-Employed,Tier 2,Owned,58000,674,0,17.9,326000,89000,48,Travel,0.04,Approved
21,Male,Single,1,Not Graduate,Salaried,Tier 3,Rented,38000,656,3,0.0,117000,205000,84,Travel,0.095,Rejected
47,Female,Married,2,Graduate,Salaried,Tier 1,Rented,53000,754,0,19.9,116000,142000,240,Medical,0.03,Approved
43,Female,Single,0,Graduate,Salaried,Tier 3,Owned,17000,696,2,7.8,97000,274000,180,Wedding,0.193,Approved
31,Female,Married,2,Not Graduate,Self-Employed,Tier 1,Rented,39000,668,0,4.9,64000,322000,24,Medical,0.389,Rejected
38,Male,Single,1,Not Graduate,Salaried,Tier 1,Living with Parents,45000,684,2,8.1,145000,171000,36,Home Renovation,0.126,Approved
33,Male,Married,2,Graduate,Business Owner,Tier 2,Owned,26000,589,2,6.9,37000,413000,36,Home Renovation,0.528,Rejected
40,Male,Married,5,Graduate,Self-Employed,Tier 2,Living with Parents,26000,709,1,10.3,26000,248000,60,Vehicle,0.212,Approved
31,Male,Single,0,Not Graduate,Business Owner,Tier 1,Rented,48000,643,1,4.6,38000,528000,24,Wedding,0.518,Rejected
39,Male,Married,3,Not Graduate,Self-Employed,Tier 3,Owned,43000,713,1,14.2,25000,384000,180,Business Expansion,0.107,Approved
35,Female,Single,0,Not Graduate,Unemployed,Tier 3,Living with Parents,17000,597,1,11.8,75000,166000,120,Vehicle,0.14,Rejected
31,Male,Married,0,Graduate,Self-Employed,Tier 1,Living with Parents,64000,690,1,7.7,169000,414000,24,Wedding,0.305,Approved
36,Male,Single,3,Graduate,Unemployed,Tier 3,Owned,9000,590,1,10.8,50000,149000,36,Medical,0.55,Rejected
59,Male,Married,0,Graduate,Salaried,Tier 2,Owned,42000,730,0,24.8,166000,320000,24,Home Renovation,0.359,Approved
28,Male,Single,4,Graduate,Salaried,Tier 3,Rented,27000,663,1,3.5,133000,301000,48,Education,0.294,Rejected
32,Male,Married,2,Graduate,Self-Employed,Tier 1,Living with Parents,52000,600,0,9.4,107000,161000,180,Education,0.037,Rejected
28,Female,Single,1,Graduate,Unemployed,Tier 3,Owned,11000,619,3,4.8,18000,66000,60,Medical,0.133,Rejected
29,Female,Married,2,Graduate,Salaried,Tier 1,Owned,84000,709,2,6.7,247000,533000,60,Education,0.141,Approved
42,Female,Single,0,Graduate,Salaried,Tier 3,Rented,8000,655,2,12.0,40000,282000,12,Wedding,3.132,Rejected
41,Male,Married,1,Not Graduate,Self-Employed,Tier 2,Rented,66000,709,0,10.9,207000,222000,180,Medical,0.04,Approved
34,Male,Married,0,Graduate,Self-Employed,Tier 2,Owned,38000,658,1,4.5,134000,222000,36,Education,0.194,Rejected
44,Male,Single,1,Graduate,Salaried,Tier 1,Living with Parents,66000,670,2,11.6,163000,394000,180,Education,0.072,Approved
42,Male,Married,0,Graduate,Self-Employed,Tier 3,Living with Parents,43000,693,2,11.2,162000,815000,48,Home Renovation,0.499,Approved
33,Female,Single,0,Graduate,Unemployed,Tier 2,Living with Parents,9000,592,0,7.2,30000,378000,60,Wedding,0.934,Rejected
21,Male,Single,1,Graduate,Business Owner,Tier 2,Owned,67000,693,0,0.0,204000,274000,60,Education,0.091,Approved
42,Male,Married,2,Not Graduate,Salaried,Tier 2,Living with Parents,47000,681,0,17.9,165000,261000,36,Business Expansion,0.184,Approved
36,Male,Married,2,Not Graduate,Salaried,Tier 3,Rented,31000,664,1,9.1,87000,273000,120,Home Renovation,0.126,Approved
35,Male,Married,2,Graduate,Salaried,Tier 1,Owned,47000,727,1,11.3,227000,120000,240,Home Renovation,0.028,Approved
30,Female,Single,0,Graduate,Salaried,Tier 1,Rented,29000,674,1,3.4,25000,312000,36,Education,0.357,Approved
41,Male,Single,1,Graduate,Salaried,Tier 3,Owned,32000,621,1,12.9,78000,100000,12,Travel,0.278,Approved
38,Male,Single,1,Not Graduate,Business Owner,Tier 2,Rented,17000,662,0,10.6,79000,286000,60,Vehicle,0.374,Rejected
32,Male,Married,1,Graduate,Salaried,Tier 1,Rented,59000,704,1,4.3,148000,166000,60,Business Expansion,0.063,Approved
23,Male,Married,2,Graduate,Business Owner,Tier 1,Rented,95000,753,1,0.9,293000,369000,12,Business Expansion,0.345,Approved
44,Female,Married,0,Not Graduate,Unemployed,Tier 3,Owned,8000,621,0,13.8,21000,276000,84,Education,0.609,Rejected
40,Female,Single,2,Not Graduate,Salaried,Tier 1,Rented,43000,589,0,11.6,104000,178000,36,Travel,0.137,Rejected
37,Female,Single,1,Not Graduate,Unemployed,Tier 2,Owned,22000,523,2,13.4,78000,120000,240,Travel,0.06,Rejected
21,Female,Single,3,Not Graduate,Self-Employed,Tier 3,Living with Parents,117000,605,0,0.0,164000,533000,120,Home Renovation,0.065,Rejected
34,Male,Single,3,Not Graduate,Self-Employed,Tier 1,Rented,52000,620,1,6.3,151000,209000,12,Home Renovation,0.357,Approved
32,Female,Single,1,Graduate,Salaried,Tier 3,Owned,33000,693,0,4.9,153000,624000,240,Education,0.208,Approved
29,Male,Married,2,Graduate,Salaried,Tier 2,Owned,39000,730,0,6.2,22000,105000,36,Vehicle,0.089,Approved
41,Male,Married,2,Not Graduate,Salaried,Tier 2,Rented,44000,721,0,8.6,168000,189000,120,Medical,0.062,Approved
41,Female,Married,0,Not Graduate,Self-Employed,Tier 2,Rented,87000,747,2,16.8,513000,57000,60,Vehicle,0.015,Approved
38,Male,Married,1,Not Graduate,Salaried,Tier 2,Rented,40000,708,0,14.6,109000,346000,60,Travel,0.192,Approved
44,Female,Single,0,Graduate,Self-Employed,Tier 1,Owned,26000,710,0,8.4,90000,363000,240,Travel,0.154,Approved
25,Male,Married,1,Graduate,Salaried,Tier 1,Rented,58000,609,0,1.7,74000,153000,60,Travel,0.059,Approved
30,Female,Single,1,Graduate,Salaried,Tier 3,Owned,26000,681,1,4.8,114000,148000,180,Vehicle,0.068,Approved
35,Female,Married,1,Graduate,Self-Employed,Tier 1,Rented,30000,647,0,11.5,84000,174000,120,Vehicle,0.083,Approved
29,Female,Married,0,Graduate,Self-Employed,Tier 3,Living with Parents,19000,678,1,3.0,90000,190000,84,Travel,0.177,Rejected
41,Female,Single,1,Not Graduate,Salaried,Tier 1,Rented,47000,711,2,10.1,56000,157000,60,Travel,0.074,Approved
30,Female,Married,3,Graduate,Salaried,Tier 2,Owned,57000,651,0,6.5,52000,420000,24,Debt Consolidation,0.347,Approved
46,Male,Single,0,Not Graduate,Business Owner,Tier 3,Living with Parents,55000,681,0,18.3,112000,166000,24,Business Expansion,0.142,Rejected
26,Male,Married,0,Not Graduate,Self-Employed,Tier 1,Owned,107000,659,1,2.6,156000,70000,60,Education,0.015,Approved
54,Male,Married,0,Graduate,Salaried,Tier 3,Rented,21000,696,1,29.0,105000,189000,36,Medical,0.299,Approved
53,Female,Single,1,Graduate,Salaried,Tier 2,Rented,33000,646,1,16.4,154000,162000,36,Vehicle,0.163,Approved
34,Male,Married,3,Not Graduate,Salaried,Tier 2,Owned,57000,614,2,8.7,332000,100000,240,Vehicle,0.019,Approved
45,Female,Married,1,Not Graduate,Salaried,Tier 2,Owned,60000,722,1,16.1,52000,246000,180,Wedding,0.049,Approved
31,Male,Married,0,Not Graduate,Self-Employed,Tier 1,Owned,41000,544,3,7.8,85000,69000,48,Vehicle,0.044,Rejected
44,Male,Single,1,Not Graduate,Business Owner,Tier 1,Living with Parents,43000,806,1,11.8,251000,276000,180,Travel,0.077,Approved
33,Female,Married,1,Not Graduate,Business Owner,Tier 2,Living with Parents,65000,649,1,6.6,71000,215000,12,Travel,0.294,Approved
23,Male,Single,0,Graduate,Salaried,Tier 1,Rented,81000,686,2,1.1,259000,157000,24,Wedding,0.091,Approved
21,Male,Single,2,Not Graduate,Business Owner,Tier 1,Owned,55000,529,0,0.0,226000,110000,240,Medical,0.022,Approved
32,Male,Single,1,Not Graduate,Salaried,Tier 3,Living with Parents,41000,616,0,8.1,72000,91000,84,Vehicle,0.039,Rejected
37,Female,Single,1,Not Graduate,Unemployed,Tier 3,Rented,8000,634,0,12.2,38000,373000,120,Debt Consolidation,0.669,Rejected
46,Female,Single,3,Graduate,Salaried,Tier 2,Rented,28000,709,2,19.8,145000,184000,120,Home Renovation,0.094,Approved
35,Male,Married,5,Not Graduate,Salaried,Tier 2,Rented,60000,643,0,10.2,161000,80000,12,Education,0.118,Approved
44,Male,Single,0,Graduate,Self-Employed,Tier 2,Owned,39000,791,0,15.1,171000,218000,84,Home Renovation,0.099,Approved
30,Male,Single,3,Not Graduate,Salaried,Tier 2,Rented,17000,566,1,5.7,58000,186000,48,Debt Consolidation,0.288,Rejected
31,Female,Single,2,Graduate,Business Owner,Tier 2,Rented,35000,699,0,6.9,148000,513000,120,Business Expansion,0.21,Approved
44,Female,Married,0,Graduate,Self-Employed,Tier 3,Rented,10000,658,2,7.0,30000,172000,48,Business Expansion,0.453,Rejected
21,Male,Married,3,Graduate,Salaried,Tier 1,Living with Parents,222000,609,0,0.0,152000,395000,120,Business Expansion,0.026,Approved
35,Male,Single,0,Graduate,Self-Employed,Tier 2,Owned,90000,599,2,4.5,206000,193000,180,Debt Consolidation,0.026,Approved
31,Male,Single,0,Graduate,Salaried,Tier 3,Rented,16000,562,1,5.9,34000,108000,36,Vehicle,0.224,Rejected
